menu_code,keys
admin-console-menu,data|FORM_TABLE_NAME|ID|insert|label|menu_name|OBJECT_ID|objectConfiguration|READONLY|TABLE_NAME
aims-search-menu,GRID_FIELD_LIST_WS|LABEL|menu_name|READONLY|REGISTRATION_CONTENT_TYPE|REGISTRATION_FORM_DATA_WS|REGISTRATION_FORM_JSON_SCHEMA_WS|REGISTRATION_FORM_SAVE_WS|REGISTRATION_FORM_UI_SCHEMA_WS|SEARCH_CONTENT_TYPE|SEARCH_FORM_DATA_WS|SEARCH_FORM_JSON_SCHEMA_WS|SEARCH_FORM_UI_SCHEMA_WS|SEARCH_SUBMIT_TYPE|SEARCH_WS|TABLE_NAME
animal-menu,CRWTYPE|CUSTOM_WS|data|ENCODE|FORM_DATA_WS|FORM_SCHEMA_WS|FORM_SUBMIT_WS|FORM_UI_SCHEMA_WS|GRID_FIELD_LIST_WS|ID|insert|label|LEFT_GRID_CONFIG_WS|LEFT_GRID_DATA_WS|LEFT_GRID_ID|LEFT_MS|LEFT_READONLY|menu_name|PARENT_NAME|READONLY|RIGHT_GRID_CONFIG_WS|RIGHT_GRID_DATA_WS|RIGHT_GRID_ID|RIGHT_MS|RIGHT_READONLY|ROUTE|SEARCH_SUBMIT_TYPE|TABLE_NAME
animal-registry-menu,insert|menu_name|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
animal_holding_registry_menu,%TABLE_NAME_LABEL_CODE%|FORM_DATA_WS|FORM_NAME|FORM_SCHEMA_WS|FORM_SUBMIT_WS|FORM_UI_SCHEMA_WS|ID|insert|LABEL|menu_name|PARENT_NAME|PARENT_TABLE_NAME|PERSON_TYPE|READONLY|RW_SCENARIO|SCENARIO|TABLE_NAME|TABLE_NAME_LABEL_CODE|type
application-import-prints,data|ID|label|menu_name|REPORT_NAME|SCENARIO
application-pre-auth-prints,data|ID|label|menu_name|REPORT_NAME|SCENARIO
application-registry-menu,FORM_DATA_WS|insert|menu_name|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
applications-registry-search-menu,ENCODE_REGISTRATION_DATA|ENCODE_SEARCH_DATA|GRID_FIELD_LIST_WS|insert|LABEL|menu_name|READONLY|REGISTRATION_CONTENT_TYPE|REGISTRATION_FORM_DATA_WS|REGISTRATION_FORM_JSON_SCHEMA_WS|REGISTRATION_FORM_SAVE_WS|REGISTRATION_FORM_UI_SCHEMA_WS|SEARCH_CONTENT_TYPE|SEARCH_FORM_DATA_WS|SEARCH_FORM_JSON_SCHEMA_WS|SEARCH_FORM_UI_SCHEMA_WS|SEARCH_SUBMIT_TYPE|SEARCH_WS|TABLE_NAME
applications_import_permit,menu_name|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
applications_menu_marketing_permit,FORM_DATA_WS|FORM_SCHEMA_WS|FORM_SUBMIT_WS|FORM_UI_SCHEMA_WS|insert|menu_name|PARENT_NAME|READONLY|RW_SCENARIO|SCENARIO|TABLE_NAME|type
export_cert-registry-menu,CUSTOM_WS|ID|insert|LABEL|menu_name|PARENT_NAME|READONLY|refreshSummary|TABLE_NAME|type|URL
farm-registry-menu,CRWTYPE|CUSTOM_WS|data|ENCODE|FORM_DATA_WS|FORM_SCHEMA_WS|FORM_SUBMIT_WS|FORM_UI_SCHEMA_WS|GRID_FIELD_LIST_WS|ID|insert|label|LEFT_GRID_CONFIG_WS|LEFT_GRID_DATA_WS|LEFT_GRID_ID|LEFT_MS|LEFT_READONLY|menu_name|PARENT_NAME|PERSON_TYPE|READONLY|RIGHT_GRID_CONFIG_WS|RIGHT_GRID_DATA_WS|RIGHT_GRID_ID|RIGHT_MS|RIGHT_READONLY|ROUTE|SEARCH_SUBMIT_TYPE|TABLE_NAME|type
feed-product-menu,FORM_DATA_WS|insert|menu_name|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
feed-registry-menu,%TABLE_NAME_LABEL_CODE%|insert|LABEL|menu_name|PARENT_NAME|PERSON_TYPE|READONLY|SCENARIO|TABLE_NAME|type
feed_approval_petition_app_menu,FORM_DATA_WS|menu_name|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
feed_approval_petition_app_prints,data|ID|label|menu_name|REPORT_NAME
feed_holding_prints,data|ID|label|menu_name|REPORT_NAME|SCENARIO
feed_import_app_menu,FORM_DATA_WS|FORM_READONLY|FORM_SCHEMA_WS|FORM_SUBMIT_WS|FORM_UI_SCHEMA_WS|GRID_DATA_WS|GRID_FIELD_LIST_WS|GRID_READONLY|GRID_TABLE_NAME|ID|LABEL|menu_name|MODAL_FORM_DATA_WS|MODAL_FORM_READONLY|MODAL_FORM_SCHEMA_WS|MODAL_FORM_SUBMIT_WS|MODAL_FORM_UI_SCHEMA_WS|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
feed_import_app_prints,data|ID|label|menu_name|REPORT_NAME
feed_product_prints,data|ID|label|menu_name|REPORT_NAME|SCENARIO
flock-menu,CUSTOM_WS|data|ID|insert|label|menu_name|PARENT_NAME|READONLY|TABLE_NAME
flock-registry-menu,CUSTOM_WS|ID|insert|LABEL|menu_name|PARENT_NAME|READONLY|SCENARIO|TABLE_NAME|type
general_holding_menu_t,%TABLE_NAME_LABEL_CODE%|insert|LABEL|menu_name|PARENT_NAME|PERSON_TYPE|READONLY|SCENARIO|TABLE_NAME|type
herd-menu,CUSTOM_WS|data|ID|insert|label|menu_name|PARENT_NAME|READONLY|TABLE_NAME
herd-registry-menu,CUSTOM_WS|ID|insert|LABEL|LEFT_GRID_CONFIG_WS|LEFT_GRID_DATA_WS|LEFT_GRID_ID|LEFT_MS|LEFT_READONLY|menu_name|PARENT_NAME|READONLY|RIGHT_GRID_CONFIG_WS|RIGHT_GRID_DATA_WS|RIGHT_GRID_ID|RIGHT_MS|RIGHT_READONLY|SCENARIO|TABLE_NAME|type
holding-prints,data|ID|label|menu_name|REPORT_NAME|SCENARIO
holding-registry-menu,
inspection-adhoc-registry-menu,FORM_DATA_WS|insert|menu_name|PARENT_NAME|READONLY|RW_SCENARIO|SCENARIO|TABLE_NAME|type
inspection-registry-menu,FORM_DATA_WS|insert|menu_name|PARENT_NAME|READONLY|RW_SCENARIO|SCENARIO|TABLE_NAME|type
inspections-registry-search-menu,ENCODE_SEARCH_DATA|GRID_FIELD_LIST_WS|insert|LABEL|menu_name|READONLY|REGISTRATION_CONTENT_TYPE|REGISTRATION_FORM_DATA_WS|REGISTRATION_FORM_JSON_SCHEMA_WS|REGISTRATION_FORM_SAVE_WS|REGISTRATION_FORM_UI_SCHEMA_WS|SEARCH_CONTENT_TYPE|SEARCH_FORM_DATA_WS|SEARCH_FORM_JSON_SCHEMA_WS|SEARCH_FORM_UI_SCHEMA_WS|SEARCH_SUBMIT_TYPE|SEARCH_WS|TABLE_NAME
