menu_code,menu_signature
admin-console-menu,grid-custom-form|SVAROG_CONFIG_LOG
admin-console-menu,grid-table|GEO_LAYER_TYPE
admin-console-menu,grid-table|SVAROG_ACL
admin-console-menu,grid-table|SVAROG_NOTIFICATION
admin-console-menu,grid-table|SVAROG_PERUN_PLUGIN
admin-console-menu,grid-table|SVAROG_SYS_PARAMS
admin-console-menu,grid-table|SVAROG_USER_GROUPS
aims-search-menu,search-menu-type|ANIMAL
aims-search-menu,search-menu-type|EXPORT_CERT
aims-search-menu,search-menu-type|FLOCK
aims-search-menu,search-menu-type|HERD
animal-menu,double-grid-component|ANIMAL
animal-menu,grid-form-custom-data-ws|ANIMAL_MOVEMENT
animal-menu,search-with-custom-all|ANIMAL
animal-registry-menu,animal-summary|ANIMAL
animal-registry-menu,table-form-holding|ANIMAL
animal-registry-menu,table-grid|ANIMAL_MOVEMENT
animal-registry-menu,table-grid|EAR_TAG_REPLC
animal-registry-menu,table-grid|INVENTORY_ITEM
animal-registry-menu,table-grid|LAB_SAMPLE
animal-registry-menu,table-grid|VACCINATION_BOOK
animal_holding_registry_menu,animal-menu|
animal_holding_registry_menu,farm-attachments|
animal_holding_registry_menu,farm-summary|HOLDING
animal_holding_registry_menu,flock-menu|
animal_holding_registry_menu,form-form-item-fr-ui|SVAROG_FORM
animal_holding_registry_menu,herd-menu|
animal_holding_registry_menu,holding-prints|
animal_holding_registry_menu,single-form-item-custom-save|DOCUMENTS
animal_holding_registry_menu,single-form-item-custom|ANIMAL_PRESENCE
animal_holding_registry_menu,single-form-item-custom|BUSINESS_EVALUATION
animal_holding_registry_menu,table-custom-person|PERSON
animal_holding_registry_menu,table-form-holding|HOLDING
animal_holding_registry_menu,table-grid-pers|BANKACC
animal_holding_registry_menu,table-grid|ADDRESS
animal_holding_registry_menu,table-grid|APPLICATION
animal_holding_registry_menu,table-grid|FARM_MEMBERS
animal_holding_registry_menu,table-grid|FEES
application-import-prints,prints-item|
application-pre-auth-prints,prints-item|
application-registry-menu,application-attachments|
application-registry-menu,application-prints|
application-registry-menu,application-summary|APPLICATION
application-registry-menu,single-form-item-custom|VMP_MARKETING_APP_INFO
applications-registry-search-menu,search-menu-type|APPLICATION
applications_import_permit,application-attachments|
applications_import_permit,application-import-prints|
applications_import_permit,application-summary|APPLICATION
applications_import_permit,table-grid|VMP_PREIMPORT_APPLICATION
applications_menu_marketing_permit,application-attachments|
applications_menu_marketing_permit,application-prints|
applications_menu_marketing_permit,application-summary|APPLICATION
applications_menu_marketing_permit,single-form-item-custom-save|VMP
applications_menu_marketing_permit,single-form-item-custom|VMP_MARKETING_APP_INFO
applications_menu_marketing_permit,table-grid|MAX_RESIDUE_LIMIT
applications_menu_marketing_permit,table-grid|PRODUCT_COMPOSITION
export_cert-registry-menu,action-get|
export_cert-registry-menu,export-cert-summary|EXPORT_CERT
export_cert-registry-menu,grid-form-custom-data-ws|ANIMAL
farm-registry-menu,double-grid-component|ANIMAL
farm-registry-menu,farm-summary|HOLDING
farm-registry-menu,grid-form-custom-data-ws|ANIMAL_MOVEMENT
farm-registry-menu,grid-form-custom-data-ws|FLOCK_MOVEMENT
farm-registry-menu,grid-form-custom-data-ws|HERD_MOVEMENT
farm-registry-menu,search-with-custom-all|ANIMAL
farm-registry-menu,table-custom-person|PERSON
farm-registry-menu,table-form-farm|FARM
farm-registry-menu,table-grid-pers|BANKACC
farm-registry-menu,table-grid|ADDRESS
farm-registry-menu,table-grid|FARM_MEMBERS
farm-registry-menu,table-grid|FLOCK
farm-registry-menu,table-grid|HERD
feed-product-menu,feed_product_prints|
feed-product-menu,inspection-attachments|
feed-product-menu,inspection-summary|INSPECTION
feed-product-menu,single-form-item-custom-ar|AUDIT_REPORT
feed-product-menu,single-form-item-custom|ANNOUNCE
feed-product-menu,single-form-item-custom|INSPECTION_CERTIFICATE
feed-registry-menu,farm-attachments|
feed-registry-menu,farm-summary|HOLDING
feed-registry-menu,feed_holding_prints|
feed-registry-menu,table-custom-person|PERSON
feed-registry-menu,table-form-holding|HOLDING
feed-registry-menu,table-grid-files|CONTROL_CHART_FEED
feed-registry-menu,table-grid-pers|BANKACC
feed-registry-menu,table-grid|ADDRESS
feed-registry-menu,table-grid|APPLICATION
feed-registry-menu,table-grid|FARM_MEMBERS
feed-registry-menu,table-grid|FEES
feed_approval_petition_app_menu,application-attachments|
feed_approval_petition_app_menu,application-summary|APPLICATION
feed_approval_petition_app_menu,feed_approval_petition_app_prints|
feed_approval_petition_app_menu,single-form-item-custom|FEED_APPROVAL_APPLICATION
feed_approval_petition_app_menu,single-form-item-custom|FEED_APPROVAL_CHECK
feed_approval_petition_app_prints,prints-item|
feed_holding_prints,prints-item|
feed_import_app_menu,application-attachments|
feed_import_app_menu,application-summary|APPLICATION
feed_import_app_menu,feed_import_app_prints|
feed_import_app_menu,form-grid-custom|FEED_PRODUCT
feed_import_app_menu,single-form-item-custom|DOCUMENTS_EXAMINED
feed_import_app_prints,prints-item|
feed_product_prints,prints-item|
